,transcripts,level_1,count,max,frequency,selection
0,ENSG00000000005,0,7,0.1,0.007,True
1,ENSG00000001084,0,5,0.058823529411764705,0.005,True
2,ENSG00000001167,0,1,0.031026782643778946,0.001,True
4,ENSG00000002822,0,1,0.030351674481868603,0.001,True
6,ENSG00000003400,0,4,0.08333333333333333,0.004,True
8,ENSG00000005844,0,1,0.02400669536676535,0.001,True
9,ENSG00000005981,0,1,0.07692307692307693,0.001,True
10,ENSG00000006047,0,1,0.05,0.001,True
11,ENSG00000006118,0,1,0.02156348900749902,0.001,True
12,ENSG00000006283,0,1,0.03493910885871192,0.001,True
13,ENSG00000006377,0,11,0.09090909090909091,0.011,True
15,ENSG00000006530,0,3,0.07142857142857142,0.003,True
17,ENSG00000006606,0,1,0.02562723610868539,0.001,True
20,ENSG00000007908,0,1,0.019460974883318046,0.001,True
21,ENSG00000007923,0,1,0.0212955788945466,0.001,True
22,ENSG00000007933,0,1,0.027903513636717645,0.001,True
24,ENSG00000008516,0,1,0.023128116882980772,0.001,True
26,ENSG00000008988,0,1,0.03207620276496307,0.001,True
27,ENSG00000010282,0,28,0.08866966050565013,0.028,True
28,ENSG00000010404,0,8,0.032345283533390605,0.008,True
29,ENSG00000010932,0,2,0.031040809394464672,0.002,True
30,ENSG00000011295,0,8,0.07142857142857144,0.008,True
32,ENSG00000011465,0,1,0.02404854387848215,0.001,True
33,ENSG00000012660,0,18,0.09090909090909091,0.018,True
34,ENSG00000013364,0,1,0.038805071779415196,0.001,True
35,ENSG00000013573,0,2,0.07692307692307693,0.002,True
36,ENSG00000013810,0,1,0.04294299402248176,0.001,True
37,ENSG00000014164,0,10,0.07692307692307693,0.01,True
38,ENSG00000015520,0,5,0.058823529411764705,0.005,True
39,ENSG00000015592,0,1,0.02057143776881877,0.001,True
41,ENSG00000018510,0,2,0.05263157894736842,0.002,True
42,ENSG00000018869,0,2,0.045454545454545456,0.002,True
43,ENSG00000019505,0,4,0.05555555555555556,0.004,True
44,ENSG00000020181,0,1,0.022326841454808004,0.001,True
45,ENSG00000021574,0,2,0.05263157894736842,0.002,True
47,ENSG00000023909,0,3,0.0625,0.003,True
48,ENSG00000024422,0,5,0.05646795140928045,0.005,True
50,ENSG00000025772,0,10,0.07692307692307693,0.01,True
51,ENSG00000026297,0,86,0.1,0.086,True
52,ENSG00000026559,0,1,0.030643542606401196,0.001,True
53,ENSG00000026950,0,3,0.07692307692307693,0.003,True
54,ENSG00000028137,0,1,0.02008320805743648,0.001,True
55,ENSG00000029534,0,1,0.022537334254527575,0.001,True
56,ENSG00000029559,0,1,0.019753912785263374,0.001,True
60,ENSG00000033327,0,2,0.07142857142857142,0.002,True
61,ENSG00000033627,0,4,0.07142857142857144,0.004,True
64,ENSG00000036549,0,1,0.021079595648620605,0.001,True
65,ENSG00000036672,0,9,0.07142857142857142,0.009,True
66,ENSG00000037241,0,1,0.025616807152700323,0.001,True
67,ENSG00000038274,0,1,0.03583171173858689,0.001,True
68,ENSG00000038945,0,1,0.026684459079976495,0.001,True
70,ENSG00000040487,0,10,0.07826952816473168,0.01,True
71,ENSG00000041802,0,32,0.1111111111111111,0.032,True
73,ENSG00000042781,0,1,0.02385045205477547,0.001,True
74,ENSG00000043039,0,2,0.03809667839001528,0.002,True
75,ENSG00000043143,0,2,0.030277778741557508,0.002,True
77,ENSG00000046653,0,1,0.01908064898431599,0.001,True
78,ENSG00000047617,0,4,0.07692307692307693,0.004,True
79,ENSG00000047849,0,2,0.02747891477281528,0.002,True
80,ENSG00000047936,0,12,0.07692307692307693,0.012,True
81,ENSG00000049167,0,4,0.06247937023457172,0.004,True
82,ENSG00000049246,0,3,0.05263157894736842,0.003,True
83,ENSG00000049247,0,3,0.05263157894736842,0.003,True
84,ENSG00000049283,0,1,0.02680688842666248,0.001,True
85,ENSG00000049618,0,1,0.034571770451850434,0.001,True
86,ENSG00000050130,0,25,0.09999999999999998,0.025,True
87,ENSG00000052841,0,4,0.047619047619047616,0.004,True
88,ENSG00000054118,0,9,0.07142857142857142,0.009,True
92,ENSG00000054690,0,13,0.0909090909090909,0.013,True
93,ENSG00000054983,0,1,0.02940297089724381,0.001,True
94,ENSG00000055044,0,1,0.020867987076953948,0.001,True
95,ENSG00000056050,0,1,0.02814642680358291,0.001,True
98,ENSG00000060138,0,13,0.09090909090909093,0.013,True
99,ENSG00000060140,0,14,0.07692307692307693,0.014,True
100,ENSG00000060303,0,4,0.06666666666666668,0.004,True
101,ENSG00000060656,0,1,0.037820109247367485,0.001,True
102,ENSG00000061337,0,9,0.06666666666666667,0.009,True
103,ENSG00000061656,0,7,0.08333333333333334,0.007,True
104,ENSG00000062485,0,8,0.14285714285714285,0.008,True
105,ENSG00000064102,0,33,0.11111111111111112,0.033,True
107,ENSG00000064225,0,2,0.04347826086956522,0.002,True
109,ENSG00000064300,0,2,0.07692307692307693,0.002,True
110,ENSG00000064666,0,2,0.049244990555673086,0.002,True
111,ENSG00000064687,0,2,0.030588015195928728,0.002,True
112,ENSG00000065243,0,2,0.05555555555555555,0.002,True
114,ENSG00000065526,0,3,0.04528633341603218,0.003,True
116,ENSG00000065613,0,6,0.09090909090909091,0.006,True
117,ENSG00000065717,0,1,0.029732591342402626,0.001,True
118,ENSG00000065911,0,1,0.04708640789197803,0.001,True
119,ENSG00000066027,0,1,0.02942279215580269,0.001,True
121,ENSG00000066117,0,1,0.04137899200114723,0.001,True
122,ENSG00000066557,0,1,0.030140512549569762,0.001,True
123,ENSG00000066735,0,1,0.021315602283675475,0.001,True
124,ENSG00000067225,0,5,0.12500000000000003,0.005,True
125,ENSG00000067248,0,1,0.03105119135438532,0.001,True
126,ENSG00000067334,0,3,0.07692307692307693,0.003,True
